clients,workload,keyspace,elapsed_s,requests,throughput_rps,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,reads,writes,deletes,http_2xx,http_4xx,http_5xx,errors
8,mixed,500,60.0035,450563,7508.94,1.0639,0.109042,9.80429,10.8758,30.3512,405514,45049,0,450563,0,0,0
8,mixed,1000,60.0051,452171,7535.55,1.06001,0.112708,9.72554,10.8054,20.6086,406810,45361,0,452171,0,0,0
8,mixed,2000,60.005,447325,7454.79,1.07161,0.108958,9.86404,10.9375,32.784,402485,44840,0,447325,0,0,0
8,mixed,4096,60.0027,457271,7620.84,1.04814,0.111083,9.60412,10.7581,15.8691,411506,45765,0,457271,0,0,0
8,mixed,8000,60.005,471767,7862.13,1.0171,0.212916,8.63508,10.0924,17.4847,424651,47116,0,471767,0,0,0
8,mixed,20000,60.005,465624,7759.75,1.03045,0.22325,8.63783,10.0179,18.6133,419024,46600,0,465624,0,0,0
8,mixed,100000,60.005,458408,7639.5,1.04665,0.22225,8.52479,10.0922,77.2259,412391,46017,0,458408,0,0,0
